"filename", "language", "SQL", "PHP", "JavaScript", "comment", "blank", "total"
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/alumno/evaluaciones.js", "JavaScript", 0, 0, 24, 0, 4, 28
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/alumno/evaluaciones.php", "PHP", 0, 178, 0, 0, 11, 189
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/alumno/indexalumno.php", "PHP", 0, 87, 0, 0, 2, 89
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/maestros/alumnos.php", "PHP", 0, 106, 0, 0, 3, 109
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/maestros/clases.php", "PHP", 0, 108, 0, 0, 3, 111
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/maestros/contenidos.js", "JavaScript", 0, 0, 83, 4, 8, 95
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/maestros/contenidos.php", "PHP", 0, 174, 0, 0, 10, 184
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/maestros/crudcontenidos.php", "PHP", 0, 38, 0, 0, 6, 44
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/maestros/crudevaluaciones.php", "PHP", 0, 39, 0, 0, 6, 45
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/maestros/crudnotas.php", "PHP", 0, 36, 0, 0, 6, 42
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/maestros/entregas.php", "PHP", 0, 164, 0, 0, 6, 170
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/maestros/evaluaciones.js", "JavaScript", 0, 0, 86, 4, 8, 98
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/maestros/evaluaciones.php", "PHP", 0, 181, 0, 0, 10, 191
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/maestros/indexmaestros.php", "PHP", 0, 87, 0, 0, 2, 89
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/maestros/notas.js", "JavaScript", 0, 0, 70, 4, 7, 81
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/maestros/notas.php", "PHP", 0, 224, 0, 2, 12, 238
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/proyecto.sql", "SQL", 232, 0, 0, 220, 113, 565
"Total", "-", 232, 4528, 1045, 277, 601, 6683
